USERID,OBJID,RATING,LATITUDE,LONGITUDE
S156HzsEW-BjCfzu0xLe9A,ImU8asw-7e_9sZoDc2lzXA,2,36.2026616,-115.2436227
gAH0POhe-xwkH_wmXF1tYw,InpTA6-ErH8JVwTKsbWNZA,5,36.1174731237,-115.089697105
oEshN5oq98_g23MvEnRc5A,CDbtT91FYGMRFiAMYTE-uQ,4,55.9455566,-3.1846324
NLX7OC9XpCSzlOBMG_lmeQ,12sLUp6XxjHPYf12j1IOqQ,4,43.7089419,-79.3990096
Tjv5bBtJ-Z_CLiY-rheG2g,AfQjI9Wbu6_Hzy2b3e7JLw,4,43.653067,-79.384058
7N0HO20l5hDb1m4JsUDlpg,aIZQF2UCLv6ru-zsPK4H2Q,5,33.399961,-112.0294349
7vsMC2RndD2WertWHA5GJQ,XmgdFa3G_CZVfjtQEJMZfQ,4,43.6572066092,-79.4042482642
DBHCFW3mSmmOEpONHVu1rQ,BYNPZf2RPFrqVvjBlwfZOw,4,43.8770052725,-79.4107820168
fuux76suMAhWIpwQdNqIWg,doX6YraMmCimqAhnQR2mYA,5,36.0128454,-115.1542808
f5AzyVdIDASkl8kAJSZq7Q,VG-ceXs6jg_gZ5R7gfkTxQ,1,36.0680431216,-115.177205911
n9RM5dQs7DEbUNZR2AAPVw,SSfNzgqA-3cbM7aWK-4nDw,5,33.4656782927,-111.916540718
Eyw6XT1bFo_vKpFfIcuAag,7YJrRufp-0tlNnihJy-Xeg,5,36.068406,-115.251131
G8M4H_3OwVYld36Xrzu_Bg,RK5YJ01Rla3nLOTe7JPktA,4,45.5009751,-73.572825
MJKg_Z3Ba0GyEjDgTGmX8g,Gpr3RKvXXH5aa2XfXRwscA,4,43.661743,-79.3860935
GTcKUjRulTRN_XxehMgSZQ,04jtcZLxvrFOi_G9ElWYtQ,3,36.1247777,-114.9085555
5JNgIiiVVXClwS6ut_Z9rg,KXfhB9wkyycKBi3BZ7On5A,5,33.473986,-112.0743109
kKXjr2cCjPMQoX0OiB6XRA,EozORgWFUCiiMfIjnKxhXg,4,48.8326,9.31514
gKvhQ1I3pJWdtDNNMllhdg,SaI-99XOm7LMStUrjyG4jw,1,43.6467758,-79.3824909
o0WGr8L3BWfH2Bslpnqw6g,5-1zA-TaCUeDa74uzXl78A,4,55.952433,-3.2023247
O4jEU1IsyccHMLZnOhkpzA,TCEOq0IoCW76Z7J9jwED9g,1,36.3255827,-115.2896852
135DbbQnr3BEkQbBzZ9T1A,Mf1tLeJhoab7fN2r7rGB7g,3,40.5569121,-80.0199562
2m2MNnlOdofofmUs-hYTJQ,aZG9Hp8fdgzq37iuB1QTYg,5,35.1032362,-80.9437367
9nUtGoOnZMPlZdUQV_aqTA,E0hjQKyw3IRaVsyayTPr7w,3,55.9462019,-3.2159857
CTaZ3ebFGQMHaLZhnO2EuA,wWCID-HxH2wITPDIqghuiQ,4,41.3019045,-81.3419409
zIOxNinC6ofIwwGjO9rUWg,XIg92ukZJn_1aiNx0OmusQ,5,45.480889,-73.5787889
U83weFx8vCDw7zYO-4FeWA,--SrzpvFLwP_YFwB_Cetow,4,43.8067504,-79.2888581
S-o3iFv-AFdgE4FXNMJ1Kw,C14bjKs2rJhRDnKu7ZSSIg,4,33.487608,-112.082516
_n1EYl_LwS4Do1JLJX8VdQ,mUeJYYxV0FbIFEHq2dtIhw,3,33.4722842,-112.2721366
L8P5OWO1Jh4B2HLa1Fnbng,_miMpqv-9ay174DfRopwpg,3,36.0113116,-115.1747074
uRcZURC3ituvPT0en9l3xA,GiDPLKtTfNHTb0koEWIz2g,1,33.3215399,-111.9275344
peVsgFj0qa8SErmzIDM0lg,w_UCGMgok7N9p0XdYBx1VQ,3,40.440287,-80.002585
_jYEC7fvqTxu5R2jhk_NDQ,o0c4waS2vQG2LqLaTCwZDA,5,33.4486019,-112.0581691
yxplUTyzTXGz0Fj1doXWcA,VecnSuJm8sD83LWJ_KqAtg,1,55.9308866,-3.2100043
jnB_saJqNfOmVoCWquhAzg,pw_YJMxkqEdXGI549TriAA,4,43.6112889,-79.5568671
SlgpAnj2gQd44EM_Uq6DkQ,9bfuS3rmaLUgElvmbMy30w,2,35.227396,-80.842257
_A8CO1V40LPIkXqE-LTYTg,Xx_bvAVlMw8ggBN8gNuugg,5,43.8652279107,-79.3896102905
NLX7OC9XpCSzlOBMG_lmeQ,2auigv5pF08RjJ8CL1dIVw,4,43.6464088498,-79.3899822895
P9wWG8KKmYeb7cqSd5BdjQ,5Jgwr84zJyNWuqyWVPXCFw,4,55.9458239,-3.2044279
CaaGjAM1yL_t4yhNLD3f_g,1bkp1NeTw5yg3hTsldkoPA,4,43.7793621,-79.417417
6jz_Yr6_AP2WWLbj9gGDpA,lhWpC9uGAyFus5BQYsyL6g,5,33.651405866,-112.36750875
R7dm_9m_OrlMOZpfU2Dk9A,G9U-dJNiCfhelEeFgHCFVg,2,43.6581800319,-79.4526503172
53bZ_EsXH71L7iFs5MP9_w,4uiijOUDzc-DeIb2XcKW_A,2,36.128561,-115.1711298
HQPh8nKNdn1jLRfiAWdu6Q,PQQQKu5lD8F0Rg9MxrGcgQ,4,36.1053552746,-115.150620619
bpumXJ7CDR8-Ap9HBYmgSA,tShJjONEucuIVvkBmEHu5Q,5,33.3548623819,-111.791124344
KdUAqW58EwaA-gZ4Me1W9A,koWjyPEroRzW4QvlwsBgUw,4,43.667531,-79.38573
oGQnKOBNrwERM-MLLfpyGA,8R_oemw4rNjJL6sd40O_oQ,4,33.495514,-111.979848
1DsuFRjdW0gDA23Xswzoqg,TIqOCRMRVjZ2zukO93axdQ,3,33.393794,-111.8683119
6pDCqee5g6jFB402L15kmg,HCwpeRZENHXOGIbKemOxeQ,4,43.6758214,-79.3970251
qpcEm7kP20JGc0yreXmeTg,gRPDzmMU_0pQo7LyxrZ2Lg,2,40.2663797556,-80.0025972039
H5TEwR-OD0XxILGNaewohA,7dFgaA_Bu1yvs42mDmjRAA,5,55.9592153502,-3.2146995351
Ck3-SikwEb0U9G7RKh-O_w,CUgRXXf5UQVqj0DudnrT5A,5,33.2931893,-111.8249627
zyFN0KU7Y9MfTZIROrsKhA,MZRqxvBkJLjKcoOjNz7yLA,3,36.1163474,-115.1723373
pw1Ss8M2_uiFfH4xDyKjtA,LVKdUEcnFAPuLsfD_ahlRw,5,55.9539336,-3.2008129
2nE0zU6y_F7gkwHi3yL6cQ,DgZ-pZUo3drzpiCDlDr9IQ,4,33.4133505,-111.8759922
WFYg4CL8ZIeeQ-N9m31EOA,BxCzy1WOVxOrr_G7V4BIvg,4,43.6697687,-79.382838
QqlV0GQ4HYjj5Uw81nzBaQ,W4C1F5U42BjMeosDHnJ7Mw,3,43.6819674,-79.4237087
dLVbAwlJXh0KwAJ0hM3gww,5zDP3Y2hdh6GJL9DVbQ2KA,5,36.019811,-115.053357
4UQfst9jve4GCSfWpWn2uA,AE7q6_m187u6jhbfRipcJw,3,55.9506471,-3.2078899
jlu4CztcSxrKx56ba1a5AQ,sRdtwkUUfLqwmRGoMtguvQ,5,43.6525033558,-79.3834733963
ENiL4oCOhEN8BPoH_ABlLw,TZmMsbw5TbRqv8rmKj_aGg,5,35.2189418,-80.8117345
1TJNKEl2k3NuMLICvjJdUA,CxxAzUN3J38UTZB6MyGB3Q,4,40.5673828,-79.999307
Kgxvv4DFWimTD3DlBhjbmw,-AqHQuD1JQBz4lUp2JRhvg,5,41.5204092,-81.482474
B7MAJ5WzAlnrIJZTPqmVoA,N4BbeIbQNgtUEEMutu9U3w,4,36.194458,-115.2430691
4PFwh5zbgyPhTGRtxkSZZA,PZ3qgjUMg8akZaP0CssYNA,4,36.1564789,-115.202328
3XDGNCH155seEXyEQPMi_w,GnDBpY-eqo35HtbCXaObfA,4,55.9433194,-3.1913581
HBBv6M03xLEGmM-HYztQUg,LdIbT7-juPbdCXiCesV2gQ,2,43.6910625,-79.5781333
U5XTWZj3Pgf730kOmL6qyA,BqTx8ZI3TaRyw-xYCE--OQ,5,55.9494882,-3.1871031
i6nzTfZ8TRckJOGgZIpr5Q,qeJ8OUASkd0KQ1oEN3P--w,5,41.5081911492,-81.5807058048
0tvCcnfJnSs55iB6mqPk3w,hRN4otcEsRO7O-EfFe0FYQ,4,36.0166816711,-115.073638916
6rGVoAI0Bl8ZEbMNJWOK3w,FB_dGtCcs59OlD_ptpMIlg,4,33.5757,-111.859399
waN6iwcphiVEoCews4f4CA,DDgv4aKw2fo_BUumhNtRmQ,5,36.1100668,-115.172501
S84mUyQA14a4SLv6a8Lzaw,QJB0dqY_muOS8xCQd1SyvQ,5,45.4579715,-73.567435
u_wqt9RshdZsoj8ikLqoEQ,h-zsZBu2t3FfQaM9r-13kw,5,36.1072424525,-115.177566763
VydRAOyNlX2sm3v_s4oivg,DnJ5i7-SZRJ6X5ZGWCI36Q,5,45.5154735,-73.5639579
jY-M01vatSmfy-mK_g0h9A,B33pyRg6kVCQSE5m11R9gw,4,55.9460358,-3.2014766
VpqKcpEq2rgoS7Jlb_Aj1Q,2iTsRqUsPGRH1li1WVRvKQ,5,36.1678783157,-115.140640475
mE1s4m1_vaVPY-pMu7gHvw,AzYkEcENi7I1DsR2iushEg,5,33.4951704,-112.0340399
93sq_DjYULPMD1HyhM5klw,Yk-M1qkLN_QNHUhxBtO4bw,4,43.7751786,-79.4140328
dwFgmKO-PzJalyHDSGAT8A,ILpHHOfCvUa8MnaqELX-YA,4,43.650311,-79.384905
Ut6Dl8A5THMkiB-fyq74zA,QEJgZqn_jYMvmkHaY8NKVg,4,40.432559,-79.893698
KPY6FvT6h-r0W0HAC1Buag,BDu2NoWOtMaIMMU_VpjNIg,4,55.9373257,-3.2068966
HPJ0yhq0xnrUl5CauF9kzw,7uQgityqvjoJI-T5ZHSGag,5,48.7455,9.2116
5Dz7v94NbI3UfbVLukrtpQ,9uFvJtN68vVFRLF4eOB9xw,5,43.661044407,-79.4297084601
EgotOxec2MuH4xvIv_KRIA,8naMr4xOmJAkIrSGjy9IPg,3,43.6864242131,-79.3090950698
SygwXJI8crPvG7owdPSeDA,GXdnO7m8X4tjVl7MXHgN4g,2,36.168245,-115.13913
_ydMM3RQ9aC_u6Rnso4LmQ,h5a8aJ_Pd71JzUGFA-IaAg,4,36.1129254,-115.2243713
5iY-NZMtjkZcAZjh-2B3dA,WoLGuuAdU1W-0eMgKVm8Dw,5,43.6496945,-79.3917439
xDl9ZF3SckkZde_48W6WeA,Xr33-xmuzXS_YOojBwYZZg,5,35.0163863148,-80.8022057799
J_YUW5WkPmf8UCnQyoSjkA,Pw2gZg0DgqC-Te9JWKIAFw,2,33.5626243,-111.9255067
oc3u68ugJlAP__025Ji2fw,bHaeNpSaM4uJgJFMaCJ_wQ,5,33.499705,-111.927222
CbUaIQ30oeBIK4cXEhr6IA,GZ_8-gCKKx3n31WTMmQeXQ,5,36.1577074822,-115.290355157
Tsm8VraTp5OGyVALtUiCeQ,2Z59ijv2HXwcYfAQSbAvyQ,3,33.3091946,-111.8210866
2U5VJvQ17FtB0wAmpaMowA,DgZ-pZUo3drzpiCDlDr9IQ,4,33.4133505,-111.8759922
_-gnSzjvS0lAwuvpUdJoyA,AVF87C3Z2kkS-Ct7Mely9Q,3,35.08894,-80.860559
-tnodf38uCXjogMhZtcWxw,2iTsRqUsPGRH1li1WVRvKQ,4,36.1678783157,-115.140640475
SxMBY64n31UHPjxzIastUg,koWjyPEroRzW4QvlwsBgUw,5,43.667531,-79.38573
WlL5xRcG2paD6XGuACXmhA,a76SwwCXPZ7sIy3FkX-rxw,4,35.0710007,-80.8431397
YKx4wqrFxNS1TexLQ9HB7Q,1gZQHfQgePCuLiwBBJcwgw,5,33.6756783,-112.0274469
UvIb5v3biEgcxWKnxf0ocg,J6n-P8InsDe8dGf5TC1bXw,4,55.9326487,-3.2101603
KdUAqW58EwaA-gZ4Me1W9A,DiCMYxT69I22-1nfsvYAJQ,5,43.6646828,-79.3682793
hWDybu_KvYLSdEFzGrniTw,7xvbhxambsLPJ5ZqaSNxtw,4,35.210761,-80.823595
3o8c_R-Kv5UOoXXuMEOZAw,O3OH5IEFMPtz7mPKakPZ3Q,5,36.0552046,-115.2509345
6Ki3bAL0wx9ymbdJqbSWMA,e0blPZYr39r3ohUDFA-MnQ,3,40.4690638337,-79.9616695907
QJI9OSEn6ujRCtrX06vs1w,U8I4TXUly-Ti1j9sbTEMUg,3,33.4640804,-111.9231856
969cB0u7sZHkmpZtoecZPA,XJN3OhXLBDa8zAqdi21FFQ,4,33.2476989,-111.8654753
kjeX2RXvW7RhBbD2QLd5jA,uoZwJJaplLsktVrRw0JiQw,3,33.377582,-111.877018
m2vjSXdfs19kNnqUUpAmOQ,N9BN9ldVl1FNzcB9_eAstw,5,36.1590984,-115.3379148
veRNLv6_8QSJXFnKwQaexw,lXoJQpW0bfj15lWJG00Vwg,4,36.1594817,-115.2308817
6qFgbBGrcRlgZNb8jOd9LQ,Lzr34VkDJQ6l8oWq9MptAA,2,43.662462,-79.3837302
HEKy5l1atBu-pHfOqfJ-RQ,KAmYlUNaGwEpEOLa1KJ33Q,4,33.6390491811,-112.031112563
TBLdjYJMIDaM6dB23AenLw,3ym4vHN1aNqTY8XXZy5p2w,5,33.5847967,-111.9754013
25QzG8_MT4zr4JiglZI8dQ,YdxdvZwt1FddrGQ0Pu5CxQ,4,41.498909,-81.4938995
pwQ8E-hbDUJe3qtKt_IBBg,8R_oemw4rNjJL6sd40O_oQ,3,33.495514,-111.979848
XPG7ps_Q9iSlxc-fi8py9w,BaMQOhwTsid9_D3MOxYduQ,2,45.497444,-73.579924
wM7HTh-ixzNpZfTvFZmbuw,oEhPArlEV-nuQgtiUEj6yw,5,41.4850435,-81.8011413
ccqlLGfbdxGX6t6wE53R7A,nO0UrzXWSzWkghUGL7fxuw,3,41.397167158,-81.6506751484
EtFYEN0sbxkZOOt3DE7vWg,gChmBjLSe3qa8rzEngoDLQ,3,35.2225852263,-80.8410940692
SJHZlBsy0GF_HYRN7wG-6A,4LlSn5JnHiiBkQFRYMHqXA,5,55.9428819,-3.1845207
7V29xzsIxlHfdcHsnpHB3Q,QiJxOHqRzi9Ic1QQijApRQ,3,40.432298,-80.0030208
wk-QmrbyCtGD23oIhMP44w,MJ2Llajfj8DS3zyCJim1rw,5,55.935392,-3.19415
HXv7eS-jw4fTVC42HSl0Qw,3YjPlOX3VHzKguHetiR_3g,3,33.5794609,-111.9261458
WAbTQD5OE6Mf6nYU9qUwGg,63dCBZQILHR-QogyKXnvXw,3,33.4494293,-111.9260855
JiPMk9WmbJu-VfTRAKpZpw,hDD6-yk1yuuRIvfdtHsISg,2,40.4290289,-79.9822249
5xrHnV-8-TotHbT-dq21WA,1BrIPwRhJHOp6yBwjoRtgg,4,36.195612,-115.258259
-ePhZcmGLxY30M_BBMhzXQ,kY6BNX2Lx-dtvYmtBeZJyQ,4,45.5714446649,-73.7530650507
g4xr80W9n71ZrFV2JYzJ5g,0BJK4_RQnNiiXJcYPEgG3w,2,43.6659752,-79.4067809
f4mMAyIgK8LESUCCyFzHEw,HZi427Fb9-lpVdwZKTk7yA,5,33.5906694,-111.7068286
oNh7cbFbZ_sO1mz50miLIA,BC5MXeRMkw4jheSb-GVQBA,5,40.427738,-79.686658
7sNE58P4AvsX6QHE8ypCiA,cKgUCzMGuRgkbKXUsgeXUw,5,33.498914,-111.928574
1dWLN4Mr4hKhu8MQUCKqXQ,5MnLa1nE606cvNGlSFt01Q,4,36.128561,-115.1711298
qd16czwFUVHICKF7A4qWsQ,8yjGIa9pv2AWaWqxlt4DDA,3,36.0680069,-115.1763677
EYwvNonD5kUGGNRTGjAAHA,aD0EslPREWGDlSpD0RMlEg,5,36.1278838165,-115.224121095
N5URmpyygDBSC_8UShI_6Q,YavRvjbLsvh4DYDJPAfJIA,4,36.0253639,-115.1189835
JnPIjvC0cmooNDfsa9BmXg,Cy9LmQrY9rWwaNTSqxQn6A,4,43.6494979,-79.3916954
wk-QmrbyCtGD23oIhMP44w,Cg7X-a-b3boTQojQZznUxQ,3,55.962246,-3.2133753
VFxrLIlgApHIdOCrkAYIGA,Eepah0Ni9iRx-W10PvkbBA,5,40.4394531,-79.9490628
tX-DzjcF0qLDc99UF1fyrQ,kEC675O6YwRH30ImVxBCCA,2,36.0937736,-115.2940246
jhPrEZShHtyGjSGMNObVmw,GqAhzWm6XkUVdJ9pK1lTPw,4,55.9749369,-3.1721734
ehLO_Oyj_HU5DnZGR83bsA,-_5jDOVvqi73YO5qR5Y1cQ,4,36.0857708,-115.1025992
oLLYmkej2TMHaTbudug5eA,ZV_WwVWXjgXFI9Ug2HyOUw,5,43.6604976,-79.3860586
TwUqavuMpDWCw9iCva3KXA,RemaGokjnHrNVoOtW83oOA,4,36.1701490234,-115.139069669
DpcxYLMU6JaDiOtvcl6PBw,Pdnh437o_59l0QZsxvQqLQ,1,43.7105539,-79.3987739
7W6qj6dMdUBIK0J3aY3_oA,YMipxiRDk0_AgzagXMl6bA,5,55.9381888,-3.2314293
SJHZlBsy0GF_HYRN7wG-6A,wY75eFVppJy3Ux7NGEY2GA,5,55.9406111,-3.1807525
HFItzRohDHZvcKDrM6ABZg,PIwSbJQ6wdqkBmImj0zWuA,2,43.653226,-79.3831843
WYU7YDh9u7tr__XGRwj3ZQ,NfQTfc22vHKsq-UA05nAHg,4,45.4568604,-73.5674101
G5BqF32PyIQ5IvplDvpKnA,C5WKPU-802vzLuDmwforBA,3,43.072528,-89.451277
eteU71BreWIONFxtIsCP9Q,Kh8zX5xfnobNiRYcFJCi0w,4,36.2912318,-115.181823
2BhpwsmTRHySlDZC-gaj0A,88TyKo52CRajXHxWlS5eEQ,5,35.116789,-80.719317
agqWketq-FhYwVmRyli4jA,xtUTw9M21mIfmpIQfBGgjA,4,43.5993382743,-79.7132416073
q91tQNboB-0HWtM8cXRjdg,-rg5vXpJgqB23FOQJuqMeg,4,43.0970189,-89.3436886
8c53BdBWPcbioN3WZJWdCA,FM6hRJtjDwNeZWa64wpdRg,5,40.124499,-88.187988
UJJYM5ZFG0imgJU9wQUuEw,I4VC1sJRNzTgx4rObIZ7FQ,5,33.510394,-112.011028
oZ9wTJLI9GxQEtvp2OQoxg,Quh8Fjutyw15B6ZGZEf2gA,1,40.43978,-80.001441
o1hdVCYTWCTHEQZbmVT8Jw,q9SVBDGK8EZZ7ICUao1skA,5,33.5975834,-112.0110882
obxrjNKD6Y1ic7iyXQU7ug,UiRHhHhDaXzkkoJCf8LcTg,4,35.2277864,-80.8428303
qOdmye8UQdqloVNE059PkQ,R_9PIy-iFsZOU52S8TTK_g,4,43.6552598789,-79.4144846678
aKN3Fq2uaRJTwZRPlI5GcQ,iPAUK7hyTWYpRfY7SOwwrg,4,55.9448117,-3.1836648
4PFwh5zbgyPhTGRtxkSZZA,g8OnV26ywJlZpezdBnOWUQ,3,36.144667,-115.239955
bLbSNkLggFnqwNNzzq-Ijw,UvRW3JBsfu71LK3MA4xgkQ,3,36.1265987,-115.2029682
tQuEVOwokhp63Xl6wEvmqg,MJ2Llajfj8DS3zyCJim1rw,4,55.935392,-3.19415
ICw4trkmmulxI-SwmY0yiQ,DgZ-pZUo3drzpiCDlDr9IQ,3,33.4133505,-111.8759922
4dIxMP5--LX1X0i3s3PIAA,C9vu1zS0ZYOWlt6f8wkKnA,4,43.6448038,-79.4165714
Muuk7TjVG_-pek8VzJc0NA,s1b39BK1WFRY9200fwFCmg,2,33.3019210712,-111.897036061
Q9mA60HnY87C1TW5kjAZ6Q,XmgdFa3G_CZVfjtQEJMZfQ,4,43.6572066092,-79.4042482642
mY7AWgtA90KQXxKhFAhC5g,ELbG4q2AWfBAu2aHN2Vvww,1,55.9505165433,-3.2064076533
1TkFY3Z_g62uZ6xNhAhXoQ,jBKJMUcMuBmHqe5_U7GQ0Q,4,40.5207632,-80.0057933
Ed20T0T3jkAqVBBiyXju6A,ofXqwIbHprYF6TP47XudOw,3,35.1902414,-80.9220645
4Xwo12Uxb0EPmHMe5rgHMA,7E6wQmRnwrHo5UAE-M52yw,5,33.6566648777,-111.933372001
p1hBWew9iS4OYu_fzsK6MQ,4PWgVhWOsuSAoKV2KK-PMw,4,33.4631161,-112.0570655
-2OB54nQ6FsGLUM-R1KXnA,rOyJdbHFLn21KKRh7RlGRw,5,40.4390689,-79.7697689
xvgX6OAYrmBYV1_YC0C_ow,CD-N5vYkLkNE6b5YfhlR7Q,4,48.7774891,9.1786788
gImuoDkxLASV9tUBhPwWjQ,NgkIOCNwgEuF740lf5q71A,1,43.7648585,-79.4125445
V_d-f3wYgulAqNLVZijsLg,S3zhwWlM0xSYU8tJeYGNRg,5,33.3638756,-111.7879906
IOC3Iuu8t3hhtPMt9ibmpQ,2OJrznHaA4Gz_KYbQnAuzQ,4,36.1254066954,-115.195941391
psHTikQaM3rLRiMtq1gZeg,eRNDudpCqrDuRaz4-reNOQ,4,55.9364584,-3.2086242
YrlNGnrofZHseVYxrLrvJA,fAk9qyerNfr3y55CdZcjDA,5,40.472873,-79.95911
sLyFQX2Ipxj0xAdfQtff8w,2auigv5pF08RjJ8CL1dIVw,2,43.6464088498,-79.3899822895
UmXzwFM2OkZHWJ5cJZlqkg,VfaxW4igH57KHsIHR-W7Nw,3,33.4521542,-112.0686202
dvgzLpLii0MOlR-X59MlGg,OZC42gnhlJ_auXduDRfMoQ,4,33.459054,-112.068953
HV24bliLib6FuMW3bWBrpQ,MWde5YzXWcNbpQ0604yGKA,1,55.9294257,-3.2096007
3eUPfBdVr1BexmC0bGgCvQ,RBAcL6hg2yoaTRv0kKUjPA,4,36.1794890054,-115.159460865
aDYNz8cujkDdmbiOh95ANA,7yEHwJrpnED8TqaYaR1smg,3,35.063369,-80.7737745
u0JoB0Vm1ZhwF8nysxPnfg,UV0GO7_q-_uffNjY53sr3w,5,33.570282,-112.0735736
HLFRql-2xgMUhe7-0uRigA,Qpfn1a2lt-kS_GVIyWzLvQ,5,33.6924752,-111.9893343
Q6E66wyWs8OOC_KxDLT4MQ,S6HTXcS97j173_btjN8w7Q,4,33.633666,-112.235047
ISnQFvO_qKRoQTyj7DxdhQ,aIZQF2UCLv6ru-zsPK4H2Q,5,33.399961,-112.0294349
RrLRd9M2Q6iYCNnKMZsdtw,-Z7Oxv9nuPJI4ov4ufvvdA,3,43.652321,-79.37938
AKXqbuifvfvNEpr3Qs51hQ,7BIbvCkI7AXQMVC1-DHpCA,2,33.333854,-111.9123807
wzyGNvArcpUjZauRWFrKHA,ZARPISrzPW6PrMSwexHnxw,3,40.4459841,-80.0108794
A5XdqRuzz_Oe0gy1WJUgZg,LCvHBQBxcFm9dyW2uxTO9Q,2,33.5081911,-112.134648
o7NMUfN_8HrSC6waZkLpKA,bHaeNpSaM4uJgJFMaCJ_wQ,4,33.499705,-111.927222
N8Iriob3n95cfybxXF19DA,asCPMMAA1wW3GJvrPA4fTA,2,40.1105839,-88.2070866
M_UuEwc_HoqPhqgEzkjPrg,P3pgWKV7j_ea-UqIaOnvvg,5,43.0368977,-89.3882153
F-XkGoU9tZxZLdGI6JAtZw,2Q89PhkcyT9uZnQORmqMKg,3,43.6532248,-79.3972469
n86B7IkbU20AkxlFX_5aew,Mw1Q04VtMm3vG3pBByXRtQ,5,36.1445244,-115.1908324
rPRy7N3WCD3sVCrF60OOnA,pi1DHl64UzYXkVuSwvsUwg,3,36.1009153,-115.1027506
PGOHKWt3_oLuFLvx_0M70A,Q6lRyplXzkTQzmiC_hWPjQ,3,33.3481335,-111.9768001
oZyiiNdA-I5zk_EHUmGRMQ,I3lHQQ7CbN75JJCkkAqphQ,2,43.6659893,-79.3679801
KPY6FvT6h-r0W0HAC1Buag,hSNzpVnmPJLjCndBal4KFA,4,55.9359811,-3.2096663
L7xRncCG-irmaFlDNhMHiA,Zf79K5QvjpT26M9OMt55sw,1,36.2015702,-115.1951924
